Operating System Marks,Algorithms Marks,Software Engineering Marks,Computer Networks Marks,Electronics Marks,Computer Architecture Marks,Mathematics Marks,Coding Skill Rating,Communication Skill Rating,Public Speaking Skill,Memory Capacity,Logical Reasoning Score,Reading and Writing Skill,Number of Hackathons Attended,Certifications,Number of Internships Attended,Worked As a Team,Personality,Expected Hours of Work Per Day,Willingness to Work for Long Period,Preference: Job vs. Higher Studies,Type of Company Preferred,Interested Career Area,Self-Learning Ability,Interest Type,Predicted Career Options
43,81,68,87,95,99,40,9,6,4,Poor,9,Medium,7,Data Science,0,No,Introvert,10,No,Higher Studies,Service-based,Research,No,Management,CRM Specialist
40,82,46,58,75,72,71,7,3,7,Medium,7,Average,4,Networking,5,Yes,Introvert,9,No,Job,Product-based,Administrator,No,Management,IT Admin
56,50,68,55,90,60,86,10,7,9,Poor,8,Average,10,AI/ML,3,Yes,Extrovert,10,Yes,Job,Service-based,Research,Yes,Management,System Developer
68,78,83,73,80,96,40,3,7,1,Poor,9,Medium,10,None,0,No,Introvert,12,No,Job,Service-based,Developer,Yes,Management,CRM Specialist
88,63,97,88,84,40,100,4,3,2,Medium,6,Medium,3,None,1,Yes,Introvert,5,Yes,Higher Studies,Product-based,Analyst,Yes,Technical,Technical Developer
60,56,93,87,80,77,54,6,2,3,Medium,10,Medium,3,Data Science,5,Yes,Introvert,8,No,Job,Service-based,Developer,Yes,Management,Technical Developer
83,43,88,98,55,77,71,4,4,8,Medium,1,Excellent,4,Java,4,No,Extrovert,5,No,Higher Studies,Product-based,Developer,Yes,Management,System Developer
59,68,75,81,93,57,72,4,8,4,Poor,4,Average,9,Java,0,No,Introvert,9,Yes,Higher Studies,Product-based,Analyst,No,Technical,Software Engineer
55,67,44,84,69,40,82,2,8,10,Excellent,2,Average,4,Python,5,No,Extrovert,4,Yes,Higher Studies,Product-based,Administrator,No,Management,Technical Developer
88,74,65,99,49,67,48,6,4,10,Medium,10,Average,4,Data Science,3,No,Introvert,6,Yes,Job,Product-based,Research,Yes,Management,Network Administrator
67,94,48,98,59,97,50,3,7,10,Poor,4,Poor,4,AI/ML,3,No,Extrovert,9,Yes,Job,Service-based,Analyst,Yes,Management,CRM Specialist
77,89,81,57,94,74,40,3,5,2,Excellent,7,Excellent,5,AI/ML,5,Yes,Introvert,9,No,Higher Studies,Service-based,Analyst,No,Technical,Network Administrator
74,53,99,89,48,74,44,6,2,6,Poor,2,Poor,7,None,3,No,Introvert,12,No,Higher Studies,Service-based,Research,No,Management,Software Engineer
63,55,100,91,80,90,77,4,10,10,Medium,4,Poor,6,Networking,4,No,Introvert,8,No,Higher Studies,Product-based,Administrator,No,Technical,UX Designer
65,87,58,58,48,54,47,9,9,9,Poor,9,Medium,4,AI/ML,3,Yes,Introvert,6,Yes,Job,Service-based,Research,No,Technical,Business Analyst
91,50,62,86,87,40,67,5,5,8,Excellent,9,Medium,6,Python,5,Yes,Introvert,6,Yes,Job,Product-based,Administrator,No,Management,Network Administrator
92,67,65,82,54,89,50,10,1,8,Excellent,7,Medium,10,Data Science,1,Yes,Extrovert,8,No,Higher Studies,Service-based,Administrator,Yes,Management,Business Analyst
43,91,54,95,41,99,60,7,3,10,Poor,6,Poor,1,Networking,1,No,Extrovert,9,Yes,Higher Studies,Service-based,UX Designer,No,Management,CRM Specialist
52,41,95,79,99,100,92,8,1,5,Excellent,1,Poor,2,AI/ML,4,No,Introvert,8,No,Job,Service-based,Administrator,No,Technical,Software Engineer
55,55,51,47,44,78,62,8,1,3,Poor,9,Excellent,10,Networking,5,Yes,Introvert,11,Yes,Higher Studies,Product-based,Analyst,No,Technical,Technical Developer
100,80,49,49,73,87,94,3,1,7,Excellent,2,Average,3,Java,5,Yes,Introvert,5,Yes,Higher Studies,Product-based,UX Designer,Yes,Technical,Business Analyst
98,64,81,42,75,99,54,3,2,4,Poor,6,Average,6,Data Science,1,No,Introvert,4,No,Job,Product-based,UX Designer,No,Management,Software Engineer
81,75,46,49,96,40,42,1,2,5,Excellent,7,Poor,3,Data Science,3,No,Extrovert,8,No,Higher Studies,Product-based,Research,No,Technical,System Developer
90,41,86,94,70,92,99,6,7,1,Medium,5,Average,10,Python,1,Yes,Introvert,8,Yes,Job,Service-based,Developer,No,Management,CRM Specialist
73,59,75,90,97,71,98,6,3,10,Medium,7,Average,0,Python,2,No,Introvert,8,Yes,Higher Studies,Service-based,Research,Yes,Technical,Business Analyst
48,61,79,43,41,90,82,3,2,5,Medium,3,Medium,4,None,2,No,Extrovert,7,Yes,Higher Studies,Service-based,UX Designer,Yes,Management,System Developer
57,92,64,84,44,95,98,8,4,6,Poor,8,Medium,3,AI/ML,2,No,Extrovert,5,Yes,Higher Studies,Service-based,Analyst,Yes,Technical,Business Analyst
100,50,73,81,46,72,59,7,3,1,Medium,8,Average,6,Java,2,No,Extrovert,11,Yes,Higher Studies,Product-based,UX Designer,Yes,Technical,UX Designer
86,87,76,52,71,65,77,10,2,8,Poor,1,Medium,10,AI/ML,0,No,Introvert,6,Yes,Higher Studies,Product-based,Administrator,Yes,Technical,IT Admin
49,58,66,78,58,96,90,5,4,9,Medium,10,Poor,0,AI/ML,4,Yes,Extrovert,12,No,Job,Product-based,Analyst,Yes,Management,UX Designer
70,52,56,89,54,43,42,6,4,9,Poor,6,Average,3,Python,2,Yes,Introvert,11,No,Job,Product-based,Analyst,Yes,Technical,Business Analyst
59,95,91,65,74,80,91,5,3,4,Excellent,5,Average,6,AI/ML,2,No,Introvert,5,Yes,Higher Studies,Product-based,Developer,Yes,Management,IT Admin
62,68,83,43,71,83,75,3,4,5,Medium,3,Poor,5,Data Science,4,Yes,Extrovert,6,No,Job,Product-based,UX Designer,Yes,Management,Network Administrator
84,75,96,71,55,44,66,2,10,9,Poor,4,Poor,8,Data Science,4,Yes,Extrovert,7,Yes,Job,Service-based,Analyst,Yes,Management,Network Administrator
56,92,85,94,89,94,61,9,5,5,Poor,6,Medium,1,AI/ML,3,Yes,Introvert,4,No,Higher Studies,Product-based,Research,Yes,Management,System Developer
72,53,73,88,55,42,41,3,3,3,Poor,10,Average,10,Data Science,4,Yes,Introvert,12,No,Higher Studies,Product-based,Administrator,Yes,Management,System Developer
84,89,68,90,86,68,41,1,8,10,Poor,1,Excellent,6,Networking,2,No,Introvert,7,Yes,Higher Studies,Product-based,Research,Yes,Management,Network Administrator
92,79,42,61,82,54,70,1,6,7,Medium,2,Poor,5,Java,0,No,Introvert,11,Yes,Job,Product-based,Analyst,Yes,Technical,UX Designer
64,57,79,61,41,75,69,10,6,1,Poor,8,Medium,5,Java,4,No,Introvert,10,No,Job,Product-based,UX Designer,No,Management,IT Admin
49,73,83,68,89,89,76,2,8,4,Excellent,1,Average,3,Java,4,Yes,Introvert,6,Yes,Job,Service-based,UX Designer,No,Management,Business Analyst
40,68,59,91,59,100,85,2,3,10,Medium,2,Poor,6,Data Science,3,Yes,Extrovert,6,Yes,Job,Product-based,Developer,Yes,Management,Software Engineer
89,59,69,59,46,81,63,9,2,2,Poor,6,Medium,6,AI/ML,2,No,Extrovert,9,No,Job,Product-based,Developer,Yes,Technical,IT Admin
84,54,73,64,97,41,75,1,5,3,Excellent,10,Poor,9,Networking,3,Yes,Extrovert,8,Yes,Higher Studies,Service-based,Developer,Yes,Technical,Business Analyst
52,87,81,46,64,55,44,3,9,4,Poor,5,Excellent,5,None,0,Yes,Introvert,12,No,Higher Studies,Product-based,Administrator,No,Technical,Network Administrator
72,59,50,91,80,86,47,6,2,4,Excellent,8,Medium,8,None,5,Yes,Extrovert,5,No,Higher Studies,Service-based,Analyst,No,Technical,Network Administrator
49,70,69,86,74,85,96,10,9,5,Poor,5,Average,4,Java,4,No,Extrovert,10,No,Job,Service-based,Analyst,No,Technical,System Developer
51,67,93,79,73,77,70,4,5,7,Excellent,9,Poor,9,Data Science,0,No,Introvert,12,Yes,Higher Studies,Service-based,Developer,Yes,Management,Business Analyst
93,80,68,71,78,48,81,7,6,5,Poor,8,Excellent,10,None,3,Yes,Extrovert,4,Yes,Higher Studies,Product-based,Analyst,No,Management,UX Designer
49,76,69,82,44,63,70,8,9,3,Medium,6,Poor,5,Python,3,Yes,Introvert,11,Yes,Job,Product-based,Research,Yes,Management,Business Analyst
62,75,93,96,97,52,95,2,7,1,Poor,6,Medium,6,Python,4,No,Extrovert,4,No,Higher Studies,Product-based,Research,No,Technical,CRM Specialist
61,88,81,96,92,99,47,2,10,2,Excellent,9,Poor,8,Data Science,3,No,Extrovert,4,Yes,Higher Studies,Product-based,Analyst,Yes,Technical,System Developer
96,46,91,40,66,73,87,3,2,2,Poor,9,Poor,5,Networking,0,No,Extrovert,8,No,Higher Studies,Product-based,Research,Yes,Technical,System Developer
58,99,40,76,83,43,87,10,10,9,Medium,3,Medium,5,Networking,1,Yes,Introvert,6,No,Higher Studies,Product-based,UX Designer,No,Management,CRM Specialist
79,91,83,64,66,100,76,6,9,5,Excellent,3,Poor,1,Python,5,No,Extrovert,12,Yes,Higher Studies,Service-based,Research,No,Management,Technical Developer
89,47,49,45,64,55,91,5,2,2,Medium,1,Excellent,5,Java,4,Yes,Introvert,12,No,Higher Studies,Service-based,Research,No,Technical,Network Administrator
44,79,68,42,50,97,66,8,8,3,Excellent,4,Average,1,Data Science,1,Yes,Introvert,6,No,Higher Studies,Service-based,UX Designer,Yes,Technical,Business Analyst
61,75,73,56,49,53,61,8,2,10,Excellent,5,Average,3,Data Science,3,Yes,Introvert,6,Yes,Higher Studies,Product-based,UX Designer,Yes,Management,Technical Developer
48,94,91,57,48,83,77,5,5,5,Medium,3,Average,0,Java,2,Yes,Extrovert,9,No,Higher Studies,Product-based,Analyst,Yes,Technical,Software Engineer
48,90,56,88,67,81,62,5,1,9,Excellent,6,Excellent,1,Data Science,0,No,Introvert,5,Yes,Higher Studies,Product-based,Analyst,No,Technical,Network Administrator
40,55,90,93,90,54,71,4,5,2,Medium,8,Medium,7,Python,4,No,Introvert,4,No,Higher Studies,Service-based,UX Designer,Yes,Technical,Technical Developer
81,76,96,85,90,98,58,1,7,3,Poor,8,Excellent,2,AI/ML,4,No,Introvert,5,Yes,Higher Studies,Product-based,Analyst,No,Technical,Network Administrator
93,88,58,72,67,85,44,8,2,10,Excellent,10,Average,7,AI/ML,3,No,Introvert,12,Yes,Higher Studies,Service-based,Research,No,Management,Network Administrator
94,43,61,55,44,100,73,1,1,5,Excellent,1,Excellent,10,Java,3,No,Introvert,6,No,Higher Studies,Product-based,UX Designer,No,Technical,System Developer
57,79,44,81,80,53,46,10,10,8,Excellent,10,Medium,4,Java,4,No,Extrovert,6,No,Higher Studies,Service-based,UX Designer,No,Technical,Technical Developer
73,66,66,92,48,74,84,1,2,9,Medium,5,Medium,0,Data Science,0,Yes,Extrovert,10,Yes,Higher Studies,Service-based,Research,Yes,Management,Technical Developer
90,41,55,83,52,45,96,2,1,9,Poor,1,Average,9,AI/ML,5,No,Extrovert,8,No,Higher Studies,Product-based,UX Designer,Yes,Technical,System Developer
62,78,62,94,92,40,42,7,2,1,Excellent,5,Excellent,3,None,1,No,Introvert,12,No,Job,Service-based,Research,Yes,Management,UX Designer
71,89,77,94,70,50,77,4,10,1,Medium,1,Excellent,10,Python,1,No,Extrovert,9,Yes,Job,Service-based,UX Designer,No,Technical,CRM Specialist
43,98,70,78,64,76,79,6,6,8,Excellent,6,Excellent,5,Networking,4,No,Introvert,11,Yes,Higher Studies,Product-based,Analyst,Yes,Management,CRM Specialist
83,43,67,77,100,56,50,2,7,1,Poor,7,Excellent,5,AI/ML,3,No,Extrovert,9,No,Higher Studies,Service-based,Research,No,Management,CRM Specialist
56,61,44,64,98,89,53,4,8,5,Excellent,7,Average,6,Data Science,0,No,Extrovert,12,No,Job,Product-based,Developer,Yes,Management,System Developer
74,44,68,63,82,63,56,6,5,5,Medium,1,Average,10,Java,1,Yes,Introvert,6,No,Job,Product-based,UX Designer,Yes,Technical,System Developer
99,90,79,95,90,97,73,8,5,8,Medium,2,Poor,2,AI/ML,0,No,Extrovert,6,Yes,Higher Studies,Service-based,Analyst,Yes,Technical,IT Admin
54,82,68,80,55,41,44,4,8,9,Poor,10,Medium,3,Networking,5,Yes,Introvert,11,No,Higher Studies,Service-based,Administrator,Yes,Management,UX Designer
74,46,75,82,52,72,57,3,6,10,Medium,1,Poor,10,Python,1,Yes,Extrovert,10,Yes,Higher Studies,Product-based,UX Designer,No,Management,Software Engineer
76,48,100,74,60,67,73,2,5,3,Excellent,7,Poor,2,None,0,No,Introvert,8,No,Job,Product-based,Administrator,No,Technical,Business Analyst
53,76,43,53,72,91,83,5,6,1,Medium,8,Medium,1,AI/ML,5,Yes,Extrovert,5,No,Job,Product-based,UX Designer,No,Technical,IT Admin
96,94,81,41,79,76,100,10,6,7,Excellent,9,Poor,2,Java,0,Yes,Introvert,12,No,Job,Product-based,Administrator,No,Technical,Technical Developer
70,85,76,99,96,74,75,8,7,7,Medium,1,Excellent,10,Python,1,Yes,Introvert,12,No,Higher Studies,Service-based,UX Designer,Yes,Management,Software Engineer
62,46,93,89,93,72,89,10,1,4,Poor,3,Excellent,5,AI/ML,4,No,Extrovert,5,No,Job,Service-based,UX Designer,Yes,Management,Software Engineer
52,79,91,78,82,61,60,6,5,7,Poor,2,Medium,10,None,0,No,Introvert,11,Yes,Job,Service-based,Research,Yes,Technical,CRM Specialist
80,46,62,56,43,79,50,2,2,9,Medium,8,Poor,8,Python,1,Yes,Extrovert,7,Yes,Job,Service-based,Research,No,Management,Business Analyst
44,79,88,85,91,42,100,7,2,6,Excellent,4,Average,2,None,1,Yes,Introvert,12,Yes,Job,Service-based,Developer,No,Management,Business Analyst
61,96,50,43,73,82,77,8,2,4,Medium,1,Average,2,Python,3,No,Introvert,12,Yes,Higher Studies,Service-based,UX Designer,Yes,Management,Software Engineer
63,91,61,54,99,61,61,1,8,1,Poor,4,Poor,0,Python,3,No,Extrovert,9,No,Job,Product-based,Developer,Yes,Technical,Network Administrator
50,97,90,79,54,62,67,3,9,1,Poor,3,Medium,5,Data Science,5,No,Introvert,9,No,Job,Product-based,Administrator,Yes,Technical,Business Analyst
98,93,92,89,99,60,79,2,1,3,Excellent,2,Excellent,7,Networking,1,Yes,Introvert,9,No,Higher Studies,Product-based,Analyst,Yes,Management,UX Designer
44,72,45,42,51,83,80,9,10,2,Medium,3,Average,5,None,2,Yes,Introvert,6,Yes,Higher Studies,Product-based,Developer,Yes,Technical,Network Administrator
98,55,79,93,93,70,90,7,5,9,Medium,8,Medium,7,None,3,Yes,Extrovert,7,No,Job,Product-based,Administrator,No,Technical,IT Admin
88,52,67,92,67,88,43,1,10,9,Excellent,9,Average,4,Python,5,Yes,Extrovert,5,No,Job,Product-based,Research,No,Management,Business Analyst
42,52,84,45,52,86,48,2,10,9,Medium,3,Poor,2,AI/ML,3,Yes,Introvert,6,No,Job,Product-based,Administrator,Yes,Technical,CRM Specialist
99,95,96,86,79,67,70,10,4,8,Poor,10,Poor,5,None,5,Yes,Introvert,9,No,Higher Studies,Product-based,Analyst,Yes,Management,Network Administrator
76,51,49,52,54,79,97,2,1,2,Medium,7,Average,0,Networking,2,No,Introvert,8,Yes,Job,Product-based,Developer,No,Technical,Network Administrator
58,74,85,89,67,42,62,3,8,1,Medium,10,Medium,4,Java,4,No,Extrovert,9,Yes,Job,Product-based,UX Designer,No,Technical,Technical Developer
76,56,98,72,88,65,91,8,4,5,Poor,5,Medium,6,Networking,0,Yes,Extrovert,7,Yes,Job,Service-based,Administrator,Yes,Technical,UX Designer
87,48,44,76,41,67,47,4,4,7,Excellent,8,Average,4,Data Science,2,Yes,Introvert,6,No,Job,Product-based,Research,No,Technical,Business Analyst
90,73,99,57,49,72,64,1,10,4,Excellent,9,Average,5,AI/ML,2,No,Extrovert,8,No,Job,Service-based,Research,No,Management,Business Analyst
93,68,98,50,54,82,86,3,5,10,Poor,1,Medium,4,Networking,4,Yes,Introvert,12,No,Job,Service-based,Developer,No,Management,Technical Developer
82,65,50,98,67,46,88,7,10,5,Excellent,5,Poor,10,None,2,No,Extrovert,12,No,Job,Product-based,UX Designer,No,Technical,Network Administrator
99,95,87,84,68,68,75,4,10,2,Medium,2,Excellent,2,Networking,0,Yes,Introvert,12,No,Job,Service-based,Research,Yes,Technical,Business Analyst
92,71,97,50,80,85,89,5,6,3,Poor,9,Poor,9,Networking,0,No,Introvert,7,Yes,Job,Product-based,Developer,Yes,Management,Business Analyst
93,82,78,43,52,91,87,3,2,6,Excellent,10,Excellent,1,Networking,2,Yes,Introvert,11,No,Job,Service-based,Research,No,Management,Network Administrator
61,61,98,44,46,56,70,1,2,4,Medium,2,Medium,1,Java,2,Yes,Extrovert,8,Yes,Higher Studies,Product-based,UX Designer,Yes,Technical,Software Engineer
44,77,67,47,62,94,49,4,5,10,Poor,3,Excellent,7,Java,0,Yes,Extrovert,5,Yes,Higher Studies,Service-based,Research,Yes,Management,UX Designer
